1981-2010 Mean,Mean DBO 1,Sample SD DBO 1,Mean DBO 2,Sample SD DBO 2,Mean DBO 3,Sample SD DBO 3,Mean DBO 4,Sample SD DBO 4,Mean DBO 5,Sample SD DBO 5,Mean DBO6,Sample SD DBO 6,Mean DBO 7,Sample SD DBO 7,Mean DBO 8 ,Sample SD DBO 8 
1-Jan,65.45492,10.495534,91.98467,1.053363,98.42581,0.783332,97.78947,1.490948,96.60875,1.417212,99.16333,0.344973,97.85333,0.444412,99.395,0.412355
2-Jan,66.89687,9.769233,92.51356,1.465756,98.26131,0.797419,98.16827,1.217001,97.16292,1.168007,99.09018,0.2857,98.32183,0.386929,99.32796,0.431735
3-Jan,68.68949,9.942298,93.37933,1.735125,98.12884,0.84984,98.5152,0.964842,97.26958,0.995302,99.21632,0.367417,98.72867,0.393568,99.07204,0.621836
4-Jan,70.19631,10.406727,94.06267,1.174638,98.13389,0.82894,98.2524,1.039123,96.54375,1.173838,99.27772,0.339501,98.62033,0.439781,99.01056,0.66187
5-Jan,70.90226,10.807537,94.55045,0.955596,98.45823,0.722509,98.24053,1.199678,96.73,1.235015,99.28562,0.239706,98.73867,0.346275,99.38463,0.513704
6-Jan,73.41292,10.225951,95.018,0.94484,98.60424,0.803029,98.78,0.649597,97.505,0.90183,99.14895,0.243608,98.89783,0.229648,99.48019,0.436213
7-Jan,73.51503,9.31201,94.76467,0.801947,98.70672,0.608328,98.89053,0.666899,97.7725,0.662321,99.38351,0.24539,98.90133,0.326052,99.50278,0.425919
8-Jan,72.84431,8.276955,94.76867,0.79371,98.65697,0.799614,98.22853,1.290591,96.92834,0.882232,99.37544,0.195295,99.057,0.297075,99.49667,0.374168
9-Jan,74.0098,7.647359,96.75955,0.637898,98.94788,0.58986,97.89907,1.266953,97.14583,0.949196,99.18263,0.282627,99.03833,0.263447,99.34667,0.375292
10-Jan,75.40928,7.659424,97.67644,0.529784,98.95596,0.492652,98.26414,1.201372,97.15875,1.247385,99.09632,0.336988,98.6525,0.232583,99.29852,0.37065
11-Jan,77.67892,7.641433,97.89667,0.467387,98.90162,0.370608,98.1832,1.466954,96.66583,1.534292,99.09421,0.353454,98.64417,0.220361,99.38519,0.5192
12-Jan,80.24267,7.263747,97.88978,0.436994,98.94545,0.313842,98.00667,1.384298,96.57417,1.344496,99.15895,0.349789,98.8595,0.270337,99.48556,0.434194
13-Jan,81.056,7.107162,97.986,0.393259,98.93434,0.363149,98.38187,1.194552,96.93125,1.297306,99.30667,0.225111,98.94383,0.309448,99.46056,0.405685
14-Jan,82.05554,6.936589,98.42333,0.442965,98.98773,0.42395,98.29333,1.331844,96.695,1.260514,99.25263,0.223012,99.11283,0.288914,99.3713,0.339758
15-Jan,82.80754,6.56192,98.42556,0.356494,98.9103,0.495821,98.4388,1.135267,97.11292,0.896514,98.93877,0.789325,98.89833,0.256066,99.42907,0.391763
16-Jan,83.344,6.219372,97.76467,0.538894,98.98273,0.486969,98.59187,0.916828,97.00292,1.375619,99.18158,0.263461,99.02067,0.334159,99.29389,0.56596
17-Jan,82.70328,5.764783,97.76822,0.528064,99.1352,0.486461,98.50547,1.06932,96.51958,1.579777,99.02316,0.31891,99.13133,0.304245,99.38796,0.368896
18-Jan,83.16318,5.70581,97.39889,0.722449,99.07657,0.677683,98.11693,1.321107,96.75625,1.7978,99.05948,0.425388,98.76167,0.359236,99.28148,0.41566
19-Jan,84.0899,5.244717,97.58778,0.847248,99.03641,0.695714,97.52454,1.626732,96.52125,1.679687,98.82702,0.422158,98.83733,0.221387,99.14445,0.424618
20-Jan,85.3559,5.161352,97.92356,0.515074,98.93308,0.740198,97.49213,1.933018,96.24458,2.003071,98.88474,0.330466,98.6065,0.274352,99.13833,0.483762
21-Jan,87.40364,4.621233,98.25178,0.404152,99.05369,0.706029,97.78454,1.810137,96.31167,1.760263,98.90632,0.30583,98.69633,0.245691,99.18241,0.407806
22-Jan,88.61436,4.539125,98.40467,0.461963,98.97606,0.601954,98.092,1.306733,96.85083,1.52817,98.86982,0.246427,99.2245,0.253398,99.20889,0.422816
23-Jan,89.39292,4.51945,98.104,0.462953,98.99818,0.501557,98.62214,0.810413,97.51583,0.909317,99.15912,0.189587,99.21017,0.314443,99.19574,0.263948
24-Jan,89.074,5.294348,97.99267,0.646245,98.9047,0.540706,98.8336,0.504641,97.9025,0.681124,99.22439,0.185154,99.13633,0.336516,99.12574,0.461321
25-Jan,89.39077,5.297048,98.26533,0.459908,99.17273,0.39989,98.9768,0.499944,97.91875,0.669392,99.38719,0.222242,99.1345,0.388501,99.10315,0.629353
26-Jan,90.03098,5.17104,98.15289,0.36048,99.23647,0.330514,99.1404,0.362427,98.37709,0.48896,99.28807,0.232335,99.23533,0.37808,99.22074,0.419432
27-Jan,90.55144,4.932843,97.99178,0.515424,99.26268,0.35608,99.3052,0.327104,98.55625,0.31122,99.35912,0.280294,99.105,0.31897,99.14333,0.368156
28-Jan,91.00164,4.348334,98.41578,0.345057,99.23844,0.377611,99.43813,0.182646,98.9675,0.290429,99.47684,0.250894,99.17383,0.337429,99.28185,0.392306
29-Jan,90.92651,3.237288,98.30889,0.341441,99.07056,0.368377,99.3716,0.186024,98.90708,0.417998,99.44667,0.253193,99.27483,0.349468,99.44667,0.356384
30-Jan,90.34446,2.900271,97.85911,0.690286,99.10707,0.498926,99.34027,0.32504,98.70583,0.410776,99.34123,0.210548,99.22083,0.257875,99.58982,0.227465
31-Jan,90.28923,2.853628,98.01444,0.850142,99.12303,0.571366,99.24894,0.408318,98.57792,0.491451,99.44755,0.269596,99.203,0.326986,99.44759,0.295971
1-Feb,91.15749,2.436076,97.84067,1.072024,99.08116,0.369999,99.02613,0.424772,97.81458,0.584584,99.59684,0.237215,99.23467,0.210618,99.47445,0.274271
